Year,Month,Median_Price,Yearly_Rank
2012,1,350700,10
2012,2,350100,7
2012,3,349500,5
2012,4,349000,4
2012,5,348500,1
2012,6,348500,1
2012,7,348800,3
2012,8,349500,5
2012,9,350100,7
2012,10,350400,9
2012,11,351300,11
2012,12,352700,12
2013,1,354100,1
2013,2,355200,2
2013,3,356500,3
2013,4,358100,4
2013,5,359800,5
2013,6,361400,6
2013,7,362900,7
2013,8,364600,8
2013,9,366400,9
2013,10,367400,10
2013,11,368000,11
2013,12,368600,12
2014,1,368800,1
2014,2,369000,2
2014,3,370000,3
2014,4,371200,4
2014,5,372500,5
2014,6,373600,7
2014,7,374300,10
2014,8,374400,11
2014,9,374400,11
2014,10,374100,9
2014,11,373600,7
2014,12,373300,6
2015,1,373400,1
2015,2,373500,2
2015,3,373800,3
2015,4,374200,4
2015,5,374600,5
2015,6,375500,6
2015,7,376800,7
2015,8,377700,8
2015,9,378400,9
2015,10,379300,10
2015,11,379900,11
2015,12,380300,12
2016,1,380700,1
2016,2,381100,2
2016,3,382000,3
2016,4,382900,4
2016,5,383400,5
2016,6,383800,6
2016,7,384500,7
2016,8,385300,8
2016,9,386700,9
2016,10,388500,10
2016,11,390700,11
2016,12,392200,12
