Month,Median_Price,Yearly_Rank
2012-01,350700,10
2012-02,350100,7
2012-03,349500,5
2012-04,349000,4
2012-05,348500,1
2012-06,348500,1
2012-07,348800,3
2012-08,349500,5
2012-09,350100,7
2012-10,350400,9
2012-11,351300,11
2012-12,352700,12
2013-01,354100,1
2013-02,355200,2
2013-03,356500,3
2013-04,358100,4
2013-05,359800,5
2013-06,361400,6
2013-07,362900,7
2013-08,364600,8
2013-09,366400,9
2013-10,367400,10
2013-11,368000,11
2013-12,368600,12
2014-01,368800,1
2014-02,369000,2
2014-03,370000,3
2014-04,371200,4
2014-05,372500,5
2014-06,373600,7
2014-07,374300,10
2014-08,374400,11
2014-09,374400,11
2014-10,374100,9
2014-11,373600,7
2014-12,373300,6
2015-01,373400,1
2015-02,373500,2
2015-03,373800,3
2015-04,374200,4
2015-05,374600,5
2015-06,375500,6
2015-07,376800,7
2015-08,377700,8
2015-09,378400,9
2015-10,379300,10
2015-11,379900,11
2015-12,380300,12
2016-01,380700,1
2016-02,381100,2
2016-03,382000,3
2016-04,382900,4
2016-05,383400,5
2016-06,383800,6
2016-07,384500,7
2016-08,385300,8
2016-09,386700,9
2016-10,388500,10
2016-11,390700,11
2016-12,392200,12
